hafta_id,baslik,konular,odevler,kaynaklar
1,Veri Bilimi Ekosistemi ve Python Temelleri,"Veri bilimi nedir? Kariyer yolları
Google Colab arayüz tanıtımı
Python: Değişkenler, veri tipleri (str, int, float, bool)
Operatörler (aritmetik, karşılaştırma, mantıksal)
Listeler, Tuple, Sözlükler, Set
Döngüler: for, while, range()
Karar yapıları: if, elif, else
Fonksiyon tanımlama: def, parametreler, return
GitHub: hesap açma, repo oluşturma, commit/push","GitHub hesabı açıp ilk repo oluşturma
3 farklı fonksiyon yazma (sıcaklık çevirici, alan hesaplama, not ortalaması)
Notebook'ları GitHub'a yükleme","Python Resmi Tutorial | https://docs.python.org/3/tutorial/
Google Colab Başlangıç | https://colab.research.google.com/"
2,NumPy ve Pandas ile Keşifsel Veri Analizi,"NumPy: Array oluşturma, temel işlemler, istatistik fonksiyonları
Pandas: Series ve DataFrame kavramları
CSV/Excel okuma: pd.read_csv(), pd.read_excel()
Veri seçme: .loc[], .iloc[], koşullu filtreleme
Temel EDA: .info(), .describe(), .shape, .dtypes
Eksik veri analizi: .isnull(), .fillna(), .dropna()
Veri manipülasyonu: filtreleme, sıralama, .groupby()
Yeni sütun oluşturma, apply() ve lambda","Supermarket veri setini yükleyip 10 farklı EDA sorusu cevaplama
Titanic verisinde cinsiyet ve sınıfa göre hayatta kalma oranlarını hesaplama","Pandas Dokümantasyon | https://pandas.pydata.org/docs/
NumPy Dokümantasyon | https://numpy.org/doc/"
3,Veri Görselleştirme ve Hikayeleştirme,"Matplotlib: plot, bar, scatter, hist, pie
Grafik özelleştirme: başlık, eksen, renk, grid
plt.subplots() ile çoklu grafik
Seaborn: countplot, boxplot, heatmap, pairplot
Korelasyon matrisi ve Heatmap
Bar Chart Race: bar_chart_race kütüphanesi
Oto-EDA araçları: Sweetviz, YData-Profiling","Seçilen veri setinde en az 5 farklı grafik türü ile analiz raporu
Sweetviz ile otomatik EDA raporu üretme","Matplotlib Gallery | https://matplotlib.org/stable/gallery/
Seaborn Tutorial | https://seaborn.pydata.org/tutorial.html"
4,İstatistiksel Analiz ve A/B Testleri,"Tanımlayıcı istatistik: ortalama, medyan, mod, standart sapma
Normal dağılım ve normallik testleri (Shapiro-Wilk)
Korelasyon: Pearson, Spearman
Hipotez testleri: H0, H1, p-value, alpha=0.05
T-Test (bağımsız iki grup)
ANOVA (ikiden fazla grup)
Chi-Square (Ki-Kare) bağımsızlık testi
A/B testi metodolojisi","Kendi A/B test senaryosu tasarlama ve analiz etme
Titanic verisinde 3 farklı hipotez testi uygulama",SciPy Stats Dokümantasyon | https://docs.scipy.org/doc/scipy/reference/stats.html
5,Makine Öğrenmesi I — Regresyon,"Makine öğrenmesi: denetimli vs denetimsiz
Basit ve Çoklu Lineer Regresyon
Polinom Regresyon
Train/Test Split: train_test_split()
Başarı metrikleri: MAE, MSE, RMSE, R²
Feature Engineering: Label/One-Hot Encoding
Scikit-learn Pipeline
Model kaydetme: joblib
Deployment: Streamlit, Gradio, Hugging Face Spaces","Araç fiyat tahmin modelini Gradio ile sarmalayıp Hugging Face'e yükleme
Link'i GitHub repo README'sine ekleme","Scikit-learn Regression | https://scikit-learn.org/stable/supervised_learning.html
Gradio Quickstart | https://gradio.app/guides/quickstart
Hugging Face Spaces | https://huggingface.co/docs/hub/spaces"
6,Makine Öğrenmesi II — Sınıflandırma ve Kaggle,"Sınıflandırma: Binary ve Multi-class
Lojistik Regresyon
K-Nearest Neighbors (KNN)
Decision Tree (Karar Ağacı)
Confusion Matrix: TP, TN, FP, FN
Metrikler: Accuracy, Precision, Recall, F1-Score
ROC Eğrisi ve AUC
Cross Validation
Kaggle: hesap, notebook, submission","Kaggle Titanic yarışmasına submission yapma ve Leaderboard skor paylaşma
Diyabet veri setinde en az 3 algoritma karşılaştırma raporu","Kaggle Titanic | https://www.kaggle.com/c/titanic
Scikit-learn Classification | https://scikit-learn.org/stable/modules/classes.html"
7,İleri Makine Öğrenmesi — Ensemble Modeller,"Ensemble Learning: Bagging vs Boosting
Random Forest
Gradient Boosting: XGBoost, LightGBM
Feature Importance
Hiperparametre Optimizasyonu: GridSearchCV, RandomizedSearchCV
Overfitting ve Regularization
Model karşılaştırma ve seçim stratejileri","Telco Churn verisinde XGBoost modeli eğitip %85+ accuracy hedefleme
Hiperparametre optimizasyonu öncesi/sonrası karşılaştırma raporu","XGBoost Docs | https://xgboost.readthedocs.io/
LightGBM Docs | https://lightgbm.readthedocs.io/"
8,"Kümeleme, Zaman Serileri ve Öneri Sistemleri","K-Means Kümeleme: Elbow Method, Silhouette Score
Müşteri segmentasyonu (RFM)
Zaman serileri: trend, mevsimsellik, durağanlık
Facebook Prophet ile zaman serisi tahmini
Öneri sistemleri: Content-based vs Collaborative
Kullanıcı-Ürün matrisi, Cosine Similarity","Mall Customer verisinde 3-5 segment oluşturup isimlendirme
MovieLens verisinde basit öneri sistemi kurma","Prophet Docs | https://facebook.github.io/prophet/
Surprise Library | https://surpriselib.com/"
9,MLOps Temelleri ve Veri Bilimi Capstone,"MLOps: model yaşam döngüsü
Model Serialization: joblib
Streamlit ile interaktif dashboard
Hugging Face Spaces'a model deploy
Proje yönetimi: README, portfolio
Capstone proje sunumu ve değerlendirme","Capstone proje: Airbnb Fiyatlandırma, Trendyol Yorum Analizi veya Spotify Popülerlik
Uçtan uca proje: veri → model → Streamlit/Gradio → GitHub","Streamlit Docs | https://docs.streamlit.io/
HF Spaces Overview | https://huggingface.co/docs/hub/spaces-overview"
10,Derin Öğrenmeye Giriş ve Yapay Sinir Ağları,"Biyolojik nörondan yapay nörona
ANN mimarisi: Input, Hidden, Output katmanları
Aktivasyon fonksiyonları: ReLU, Sigmoid, Softmax
Forward/Backpropagation
Loss fonksiyonları ve Optimizer'lar (SGD, Adam)
TensorFlow ve Keras'a giriş
Sequential model oluşturma
Overfitting önleme: Dropout, Early Stopping","MNIST modelinin doğruluğunu %98+ yapma denemesi
QuickDraw'dan 10 kategori ile çizim tanıma modeli eğitme","TensorFlow Tutorials | https://www.tensorflow.org/tutorials
TF Playground | https://playground.tensorflow.org/"
